season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
4,16,The One with the Fake Party,19 Mar. 1998,8.2,4058,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.
4,17,The One with the Free Porn,26 Mar. 1998,8.6,4213,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.
4,18,The One with Rachel's New Dress,2 Apr. 1998,8.2,3983,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.
4,19,The One with All the Haste,9 Apr. 1998,8.7,4198,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.
4,20,The One with All the Wedding Dresses,16 Apr. 1998,8.5,4124,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring."
4,21,The One with the Invitation,23 Apr. 1998,7.1,4446,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life."
4,22,The One with the Worst Best Man Ever,30 Apr. 1998,8.5,4033,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous."
4,23,The One with Ross's Wedding,7 May 1998,8.7,4412,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.
4,24,The One with Ross's Wedding: Part 2,7 May 1998,9.2,5502,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.
5,1,The One After Ross Says Rachel,24 Sep. 1998,8.9,4704,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together."
5,2,The One with All the Kissing,1 Oct. 1998,9.0,4844,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.
5,3,The One Hundredth,8 Oct. 1998,8.8,4408,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones."
5,4,The One Where Phoebe Hates PBS,18 Oct. 1998,8.2,3955,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.
5,5,The One with the Kips,29 Oct. 1998,8.7,4262,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.
5,6,The One with the Yeti,5 Nov. 1998,8.0,3948,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.
5,7,The One Where Ross Moves In,12 Nov. 1998,8.3,4000,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.
5,8,The One with All the Thanksgivings,19 Nov. 1998,9.1,5523,The gang remember and share with each other their worst Thanksgivings.
