,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc,rachel,monica,phoebe,joey,chandler,ross,rachel_words,monica_words,phoebe_words,joey_words,chandler_words,ross_words
101,5,5,102,The One with the Kips,Dana DeVally Piazza,Scott Silveri,1998-10-29,467655,25870000.0,8.7,4262.0,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,41.0,58.0,17.0,41.0,59.0,35.0,485.0,591.0,149.0,399.0,558.0,461.0
102,5,6,103,The One with the Yeti,Gary Halvorson,Alexa Junge,1998-11-05,467656,24990000.0,8.0,3948.0,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,37.0,35.0,28.0,40.0,19.0,38.0,425.0,350.0,466.0,614.0,168.0,548.0
103,5,7,104,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,1998-11-12,467657,24440000.0,8.3,4000.0,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,33.0,34.0,24.0,54.0,47.0,31.0,453.0,297.0,298.0,489.0,399.0,447.0
104,5,8,105,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,1998-11-19,467659,23920000.0,9.1,5523.0,The gang remember and share with each other their worst Thanksgivings.,22.0,49.0,22.0,20.0,46.0,27.0,308.0,751.0,206.0,257.0,468.0,274.0
105,5,9,106,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,1998-12-10,467658,23030000.0,9.1,5103.0,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,38.0,30.0,37.0,37.0,28.0,38.0,454.0,295.0,447.0,508.0,226.0,502.0
106,5,10,107,The One with the Inappropriate Sister,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-12-17,467661,23670000.0,8.1,3931.0,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,30.0,31.0,31.0,52.0,35.0,38.0,381.0,274.0,568.0,711.0,358.0,536.0
107,5,11,108,The One with All the Resolutions,Joe Regalbuto,Story by: Brian BoyleTeleplay by: Suzie Villandry,1999-01-07,467660,27020000.0,9.1,4962.0,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,36.0,17.0,32.0,73.0,18.0,50.0,496.0,197.0,500.0,783.0,317.0,635.0
108,5,12,109,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1999-01-21,467663,24820000.0,8.2,3922.0,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,38.0,53.0,20.0,31.0,42.0,33.0,474.0,640.0,151.0,279.0,527.0,471.0
109,5,13,110,The One with Joey's Bag,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,1999-02-04,467662,24920000.0,8.1,3923.0,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",24.0,30.0,61.0,43.0,34.0,15.0,274.0,307.0,753.0,657.0,304.0,125.0
110,5,14,111,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,1999-02-11,467664,27700000.0,9.7,10596.0,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",48.0,33.0,63.0,29.0,58.0,28.0,501.0,254.0,755.0,301.0,494.0,422.0
111,5,15,112,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,1999-02-18,467665,29310000.0,8.5,4136.0,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,24.0,34.0,25.0,28.0,42.0,47.0,323.0,452.0,471.0,282.0,579.0,549.0
